date,family,model,gpu,benchmark,a,u_star,p95_ms,phi,raw_cost,LCI,price_gpu_hr,PUI,PUI_model,wedge_x
2023-07-01,Code,Llama-2-70B,A100-40GB,HumanEval,0.299,0.84,35647.02687213726,0.7681772750800858,0.0013389636111357747,0.0017430398614645061,4.1,0.063,gpt-4-8k,36.14375172525731
2023-07-01,QA,Llama-2-70B,A100-40GB,MMLU,0.6890000000000001,0.84,17823.51343606863,0.9151824208089724,0.0006694818055678873,0.0007315282618476229,4.1,0.039,gpt-4-8k,53.31304617199286
2023-07-01,Reasoning,Llama-2-70B,A100-40GB,GSM8K,0.568,0.84,23764.684581424845,0.8915365354691231,0.0008926424074238498,0.0010012404112571165,4.1,0.036,gpt-4-8k,35.955400516445266
2024-04-01,Code,Llama-3-70B,A100-40GB,HumanEval,0.8170000000000001,0.88,34701.81628887401,0.9953936037395771,0.0011722869604107809,0.0011777119684179566,4.1,0.024,gpt-4-turbo,20.37849715685548
2024-04-01,QA,Llama-3-70B,A100-40GB,MMLU,0.795,0.88,17350.908144437006,0.9852379693837502,0.0005861434802053904,0.0005949257929756944,4.1,0.0145,gpt-4-turbo,24.37278761687913
2024-04-01,Reasoning,Llama-3-70B,A100-40GB,GSM8K,0.93,0.88,23134.544192582674,0.9918686880075198,0.0007815246402738539,0.0007879315575973992,4.1,0.014,gpt-4-turbo,17.76804072004618
2024-07-01,Code,Llama-3.1-70B,A100-40GB,HumanEval,0.805,0.9,35735.52668246744,0.9931517198276674,0.0011003470515654557,0.0011079344974163554,4.1,0.000405,gpt-4o-mini,0.3655450759448673
2024-07-01,QA,Llama-3.1-70B,A100-40GB,MMLU,0.86,0.9,17867.76334123372,0.9859329312751602,0.0005501735257827278,0.0005580232775784848,4.1,0.00024,gpt-4o-mini,0.43008958522567103
2024-07-01,Reasoning,Llama-3.1-70B,A100-40GB,GSM8K,0.951,0.9,23823.68445497829,0.9895047269368339,0.0007335647010436369,0.0007413453226388325,4.1,0.00024,gpt-4o-mini,0.3237357715372312
2025-06-01,Code,Llama-3.1-70B,A100-40GB,HumanEval,0.805,0.9,34361.08334852639,0.9959918883128913,0.000711069272236687,0.0007139307865661093,2.745,0.000405,gpt-4o-mini,0.5672818816904982
2025-06-01,QA,Llama-3.1-70B,A100-40GB,MMLU,0.86,0.9,17180.541674263193,0.9890549397742422,0.0003555346361183435,0.00035946904648137795,2.745,0.00024,gpt-4o-mini,0.6676513662280879
2025-06-01,Reasoning,Llama-3.1-70B,A100-40GB,GSM8K,0.951,0.9,22907.388899017587,0.9925551154588873,0.00047404618149112464,0.00047760187228692,2.745,0.00024,gpt-4o-mini,0.5025105928726754
