u,p50_ms,p95_ms,p95_sd,p99_ms,throughput_req_per_s,util_measured,replications
0.4,1.121512977123236,2.2953496118583625,0.01748069610862166,2.9501497650378656,25576.194906413395,0.9954837126507066,12
0.5,1.136082993524899,2.3144605461329246,0.015981348002186205,2.9716089144151545,31992.244339726443,0.9974622675441022,12
0.6,1.1622755587441134,2.3392378497919375,0.011831024277028522,3.014756951000161,38415.29568662245,0.9985017043640055,12
0.7,1.1995625389946507,2.3965761994664274,0.01394792795914191,3.070660555929258,44743.955801188444,0.9991025066166913,12
0.78,1.2507520627920787,2.4809936978791107,0.023004184347431667,3.1574651799752806,49884.889381593675,0.9993894979041752,12
0.84,1.3301027519295634,2.6141153039567326,0.038100789952058775,3.309644737084842,53770.66941789278,0.9995648305369631,12
0.88,1.404374971172281,2.776145303109921,0.07514930641327168,3.542678409034693,56297.83871271257,0.9996089064517717,12
0.9,1.4714669600335266,2.9779605568722864,0.05090873356479098,3.922002223712486,57579.40937197525,0.9996962179549871,12
0.92,1.576164738526586,3.294073866386102,0.24547716152732485,4.327719273494661,58873.8288681511,0.9997277677769955,12
0.94,1.7140391125371153,3.575193926051092,0.23120228953588234,4.685601293997721,60131.708243896624,0.9997839204365108,12
