u,p95_ms,phi,raw_cost,LCI,date,family,gpu
0.95,148301.57660411176,0.49538794597746966,0.0015823651201168402,0.003194193829231377,2023-07-01,Code,A100-40GB
0.4,45452.31906337764,0.6901606399478558,0.0028215339712986927,0.004088227882007108,2023-07-01,Reasoning,A100-40GB
0.5,46550.30745157639,0.6868736976366692,0.0022445884305697856,0.0032678328465520746,2023-07-01,Reasoning,A100-40GB
0.6,47037.43247977998,0.6854450989153734,0.001875490925858039,0.002736165053664774,2023-07-01,Reasoning,A100-40GB
0.7,50553.60644545031,0.6756331784739409,0.0016075945139100065,0.0023793895343344382,2023-07-01,Reasoning,A100-40GB
0.78,55013.62804931572,0.6643047222973414,0.0014476696000124895,0.002179225213101098,2023-07-01,Reasoning,A100-40GB
0.84,63202.088188873626,0.646122867111539,0.0013373145674358514,0.0020697527289418676,2023-07-01,Reasoning,A100-40GB
0.88,62710.34850485221,0.6471330109184797,0.0012822570844814093,0.0019814428608138754,2023-07-01,Reasoning,A100-40GB
0.92,85468.56290622754,0.608275209145871,0.0012240805769877863,0.0020123795258837167,2023-07-01,Reasoning,A100-40GB
0.95,111226.1824530838,0.5770586969874311,0.0011867738400876302,0.0020565912034308693,2023-07-01,Reasoning,A100-40GB
0.4,27776.41720539745,0.7771794598544628,0.00172427076023809,0.0022186262624091773,2024-04-01,QA,A100-40GB
0.5,28447.410109296685,0.7734780897243129,0.0013716929297926468,0.0017734089019658629,2024-04-01,QA,A100-40GB
0.6,28745.09762653221,0.7718693681396482,0.0011461333435799125,0.0014848799432762975,2024-04-01,QA,A100-40GB
0.7,30893.870605552966,0.7608203188854995,0.0009824188696116707,0.0012912626611376306,2024-04-01,QA,A100-40GB
0.78,33619.439363470716,0.748063516920804,0.0008846869777854106,0.0011826361769746226,2024-04-01,QA,A100-40GB
0.84,38623.498337644996,0.727589204578697,0.0008172477912107982,0.0011232269336431634,2024-04-01,QA,A100-40GB
0.88,38322.99075296525,0.7287267122653336,0.0007836015516275279,0.0010753023574387845,2024-04-01,QA,A100-40GB
0.92,52230.78844269461,0.6849695284281887,0.0007480492414925362,0.0010920912689489964,2024-04-01,QA,A100-40GB
0.95,67971.55594355121,0.6498170854371884,0.0007252506800535518,0.0011160843509764177,2024-04-01,QA,A100-40GB
0.4,55552.8344107949,0.7796196055809562,0.00344854152047618,0.004423364286620779,2024-04-01,Code,A100-40GB
0.5,56894.82021859337,0.775906608170978,0.0027433858595852937,0.003535716580700604,2024-04-01,Code,A100-40GB
0.6,57490.19525306442,0.7742928337722969,0.002292266687159825,0.002960464810183084,2024-04-01,Code,A100-40GB
0.7,61787.74121110593,0.7632090873196896,0.0019648377392233415,0.0025744422752140518,2024-04-01,Code,A100-40GB
0.78,67238.87872694143,0.7504122310154563,0.0017693739555708211,0.002357869291624562,2024-04-01,Code,A100-40GB
0.84,77246.99667528999,0.7298736347116477,0.0016344955824215963,0.002239422695501721,2024-04-01,Code,A100-40GB
0.88,76645.9815059305,0.7310147138615766,0.0015672031032550558,0.0021438735411717282,2024-04-01,Code,A100-40GB
0.92,104461.57688538922,0.6871201444842902,0.0014960984829850725,0.002177346269054521,2024-04-01,Code,A100-40GB
0.95,135943.11188710242,0.65185733248391,0.0014505013601071035,0.0022251822413041685,2024-04-01,Code,A100-40GB
0.4,41664.62580809617,0.7796196055665019,0.0025864061403571346,0.003317523215027092,2024-04-01,Reasoning,A100-40GB
0.5,42671.115163945025,0.7759066081637961,0.00205753939468897,0.002651787435549998,2024-04-01,Reasoning,A100-40GB
0.6,43117.646439798315,0.7742928337670298,0.001719200015369869,0.0022203486076524167,2024-04-01,Reasoning,A100-40GB
0.7,46340.80590832945,0.7632090873191257,0.001473628304417506,0.001930831706411965,2024-04-01,Reasoning,A100-40GB
0.78,50429.15904520607,0.750412231015423,0.0013270304666781157,0.0017684019687185,2024-04-01,Reasoning,A100-40GB
0.84,57935.247506467495,0.7298736347116477,0.0012258716868161974,0.0016795670216262907,2024-04-01,Reasoning,A100-40GB
0.88,57484.48612944786,0.7310147138615766,0.0011754023274412916,0.001607905155878796,2024-04-01,Reasoning,A100-40GB
0.92,78346.1826640419,0.6871201444842902,0.0011220738622388041,0.0016330097017908903,2024-04-01,Reasoning,A100-40GB
0.95,101957.33391532682,0.65185733248391,0.0010878760200803276,0.0016688866809781264,2024-04-01,Reasoning,A100-40GB
0.4,26665.36051718155,0.7860107507364396,0.001655299929828566,0.002105950749754581,2024-07-01,QA,A100-40GB
0.5,27309.513704924815,0.7822673276616389,0.0013168252126009407,0.0016833442559044457,2024-07-01,QA,A100-40GB
0.6,27595.29372147092,0.7806403278853324,0.0011002880098367161,0.001409468574109249,2024-07-01,QA,A100-40GB
0.7,29658.115781330845,0.7694657327194278,0.0009431221148272039,0.0012256843608799105,2024-07-01,QA,A100-40GB
0.78,32274.661788931888,0.7565639736243971,0.000849299498673994,0.0011225745981603352,2024-07-01,QA,A100-40GB
0.84,37078.55840413919,0.7358570062721987,0.000784557879562366,0.0010661825230650214,2024-07-01,QA,A100-40GB
0.88,36790.07112284663,0.7370074397768206,0.0007522574895624267,0.0010206918532467246,2024-07-01,QA,A100-40GB
0.92,50141.55690498682,0.6927530307145165,0.0007181272718328346,0.001036628119969604,2024-07-01,QA,A100-40GB
0.95,65252.693705809164,0.6572011405816602,0.0006962406528514096,0.0010594026848997815,2024-07-01,QA,A100-40GB
0.4,53330.7210343631,0.7860107856042877,0.003310599859657132,0.004211901312667016,2024-07-01,Code,A100-40GB
0.5,54619.02740984963,0.7822673497154934,0.0026336504252018815,0.0033666884168944626,2024-07-01,Code,A100-40GB
0.6,55190.58744294184,0.7806403458872038,0.0022005760196734322,0.0028189370832127063,2024-07-01,Code,A100-40GB
0.7,59316.23156266169,0.7694657368929234,0.0018862442296544077,0.002451368708463873,2024-07-01,Code,A100-40GB
0.78,64549.323577863775,0.7565639742833749,0.001698598997347988,0.002245149194365114,2024-07-01,Code,A100-40GB
0.84,74157.11680827838,0.735857006294881,0.001569115759124732,0.002132365046064314,2024-07-01,Code,A100-40GB
